antibody_id,predicted_isotype,isotype_confidence,is_IgG,is_IgA,is_IgM,is_IgE,is_IgD,isotype_score_IgG,isotype_score_IgA,isotype_score_IgM,isotype_score_IgE,isotype_score_IgD
GDPa1-001,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-002,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-003,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-004,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-005,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-006,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-007,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-008,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-009,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-010,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-011,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-012,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-013,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-014,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-015,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-016,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-017,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-018,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-019,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-020,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-021,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-022,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-023,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-024,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-025,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-026,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-027,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-028,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-029,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-030,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-031,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-032,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-033,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-034,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-035,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-036,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-037,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-038,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-039,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-040,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-041,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-042,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-043,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-044,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-045,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-046,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-047,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-048,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-049,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-050,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-051,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-052,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-053,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-054,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-055,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-056,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-057,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-058,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-059,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-060,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-061,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-062,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-063,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-064,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-065,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-066,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-067,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-068,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-069,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-070,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-071,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-072,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-073,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-074,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-075,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-076,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-077,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-078,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-079,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-080,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-081,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-082,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-083,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-084,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-085,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-086,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-087,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-088,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-089,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-090,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-091,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-092,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-093,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-094,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-095,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-096,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-097,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-098,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-099,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-100,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-101,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-102,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-103,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-104,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-105,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-106,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-107,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-108,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-109,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-110,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-111,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-112,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-113,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-114,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-115,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-116,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-117,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-118,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-119,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-120,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-121,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-122,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-123,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-124,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-125,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-126,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-127,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-128,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-129,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-130,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-131,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-132,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-133,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-134,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-135,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-136,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-137,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-138,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-139,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-140,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-141,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-142,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-143,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-144,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-145,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-146,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-147,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-148,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-149,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-150,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-151,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-152,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-153,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-154,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-155,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-156,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-157,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-158,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-159,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-160,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-161,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-162,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-163,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-164,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-165,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-166,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-167,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-168,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-169,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-170,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-171,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-172,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-173,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-174,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-175,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-176,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-177,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-178,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-179,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-180,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-181,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-182,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-183,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-184,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-185,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-186,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-187,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-188,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-189,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-190,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-191,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-192,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-193,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-194,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-195,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-196,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-197,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-198,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-199,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-200,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-201,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-202,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-203,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-204,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-205,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-206,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-207,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-208,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-209,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-210,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-211,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-212,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-213,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-214,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-215,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-216,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-217,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-218,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-219,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-220,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-221,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-222,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-223,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-224,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-225,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-226,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-227,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-228,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-229,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-230,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-231,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-232,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-233,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-234,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-235,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-236,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-237,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-238,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-239,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-240,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-241,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-242,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-243,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-244,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-245,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
GDPa1-246,IgE,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
